,ObjectId,Country,ISO2,ISO3,Unit,Measure,Date,Value,Year,Month,Day
2022,2023,World,,WLD,Millimeters,World,04/28/1995,-12.95,1995,4,28
2047,2048,World,,WLD,Millimeters,World,05/18/1995,-17.75,1995,5,18
2073,2074,World,,WLD,Millimeters,World,05/28/1995,-14.65,1995,5,28
2094,2095,World,,WLD,Millimeters,World,06/06/1995,-9.15,1995,6,6
2120,2121,World,,WLD,Millimeters,World,06/16/1995,-12.25,1995,6,16
2147,2148,World,,WLD,Millimeters,World,06/26/1995,-17.55,1995,6,26
2172,2173,World,,WLD,Millimeters,World,07/16/1995,-20.45,1995,7,16
2197,2198,World,,WLD,Millimeters,World,07/26/1995,-15.35,1995,7,26
2222,2223,World,,WLD,Millimeters,World,08/05/1995,-11.45,1995,8,5
2247,2248,World,,WLD,Millimeters,World,08/15/1995,-7.15,1995,8,15
2272,2273,World,,WLD,Millimeters,World,08/25/1995,-10.75,1995,8,25
2298,2299,World,,WLD,Millimeters,World,09/04/1995,-10.55,1995,9,4
2317,2318,World,,WLD,Millimeters,World,09/13/1995,-6.25,1995,9,13
2342,2343,World,,WLD,Millimeters,World,09/23/1995,2.15,1995,9,23
2370,2371,World,,WLD,Millimeters,World,10/03/1995,0.15,1995,10,3
2396,2397,World,,WLD,Millimeters,World,10/13/1995,-0.85,1995,10,13
2422,2423,World,,WLD,Millimeters,World,11/02/1995,-5.15,1995,11,2
2447,2448,World,,WLD,Millimeters,World,11/12/1995,-4.85,1995,11,12
2464,2465,World,,WLD,Millimeters,World,11/21/1995,-1.45,1995,11,21
2497,2498,World,,WLD,Millimeters,World,12/12/1995,-1.15,1995,12,12
2522,2523,World,,WLD,Millimeters,World,12/22/1995,-3.15,1995,12,22
2544,2545,World,,WLD,Millimeters,World,12/31/1995,-10.05,1995,12,31
2569,2570,World,,WLD,Millimeters,World,01/10/1996,-13.05,1996,1,10
2597,2598,World,,WLD,Millimeters,World,01/20/1996,-11.55,1996,1,20
2622,2623,World,,WLD,Millimeters,World,01/30/1996,-7.25,1996,1,30
2646,2647,World,,WLD,Millimeters,World,02/09/1996,-4.05,1996,2,9
2671,2672,World,,WLD,Millimeters,World,02/29/1996,-11.15,1996,2,29
2697,2698,World,,WLD,Millimeters,World,03/10/1996,-14.35,1996,3,10
2722,2723,World,,WLD,Millimeters,World,03/20/1996,-11.05,1996,3,20
2747,2748,World,,WLD,Millimeters,World,03/30/1996,-6.75,1996,3,30
2772,2773,World,,WLD,Millimeters,World,04/09/1996,-9.95,1996,4,9
2797,2798,World,,WLD,Millimeters,World,04/19/1996,-14.45,1996,4,19
2822,2823,World,,WLD,Millimeters,World,04/29/1996,-14.75,1996,4,29
2847,2848,World,,WLD,Millimeters,World,05/09/1996,-12.35,1996,5,9
2873,2874,World,,WLD,Millimeters,World,05/19/1996,-9.75,1996,5,19
2889,2890,World,,WLD,Millimeters,World,05/28/1996,-7.75,1996,5,28
2916,2917,World,,WLD,Millimeters,World,06/07/1996,-10.55,1996,6,7
2944,2945,World,,WLD,Millimeters,World,06/27/1996,-15.75,1996,6,27
2970,2971,World,,WLD,Millimeters,World,07/07/1996,-13.05,1996,7,7
2994,2995,World,,WLD,Millimeters,World,07/17/1996,-7.65,1996,7,17
3021,3022,World,,WLD,Millimeters,World,07/27/1996,-2.55,1996,7,27
3047,3048,World,,WLD,Millimeters,World,08/06/1996,-4.75,1996,8,6
3072,3073,World,,WLD,Millimeters,World,08/16/1996,-9.75,1996,8,16
3097,3098,World,,WLD,Millimeters,World,08/26/1996,-9.75,1996,8,26
3122,3123,World,,WLD,Millimeters,World,09/05/1996,-9.95,1996,9,5
3147,3148,World,,WLD,Millimeters,World,09/15/1996,-2.55,1996,9,15
3171,3172,World,,WLD,Millimeters,World,09/25/1996,4.95,1996,9,25
3197,3198,World,,WLD,Millimeters,World,10/05/1996,6.45,1996,10,5
3222,3223,World,,WLD,Millimeters,World,10/25/1996,13.05,1996,10,25
3240,3241,World,,WLD,Millimeters,World,11/03/1996,12.95,1996,11,3
3266,3267,World,,WLD,Millimeters,World,11/13/1996,9.15,1996,11,13
3294,3295,World,,WLD,Millimeters,World,11/23/1996,1.95,1996,11,23
3320,3321,World,,WLD,Millimeters,World,12/03/1996,-1.65,1996,12,3
3346,3347,World,,WLD,Millimeters,World,12/13/1996,-5.75,1996,12,13
3371,3372,World,,WLD,Millimeters,World,12/23/1996,-13.05,1996,12,23
3397,3398,World,,WLD,Millimeters,World,01/02/1997,-10.25,1997,1,2
3422,3423,World,,WLD,Millimeters,World,01/12/1997,-5.35,1997,1,12
3447,3448,World,,WLD,Millimeters,World,01/22/1997,-6.55,1997,1,22
3472,3473,World,,WLD,Millimeters,World,02/01/1997,-7.85,1997,2,1
3497,3498,World,,WLD,Millimeters,World,02/21/1997,-12.55,1997,2,21
3522,3523,World,,WLD,Millimeters,World,03/03/1997,-10.55,1997,3,3
3543,3544,World,,WLD,Millimeters,World,03/12/1997,-8.95,1997,3,12
3568,3569,World,,WLD,Millimeters,World,03/22/1997,-6.85,1997,3,22
3595,3596,World,,WLD,Millimeters,World,04/01/1997,-8.65,1997,4,1
3621,3622,World,,WLD,Millimeters,World,04/11/1997,-12.75,1997,4,11
3646,3647,World,,WLD,Millimeters,World,04/21/1997,-15.45,1997,4,21
3672,3673,World,,WLD,Millimeters,World,05/01/1997,-11.45,1997,5,1
3697,3698,World,,WLD,Millimeters,World,05/11/1997,-6.15,1997,5,11
3723,3724,World,,WLD,Millimeters,World,05/21/1997,-8.55,1997,5,21
3747,3748,World,,WLD,Millimeters,World,05/31/1997,-8.45,1997,5,31
3772,3773,World,,WLD,Millimeters,World,06/20/1997,-15.15,1997,6,20
3796,3797,World,,WLD,Millimeters,World,06/29/1997,-9.65,1997,6,29
3820,3821,World,,WLD,Millimeters,World,07/09/1997,-6.05,1997,7,9
3846,3847,World,,WLD,Millimeters,World,07/19/1997,0.25,1997,7,19
3872,3873,World,,WLD,Millimeters,World,07/29/1997,-4.25,1997,7,29
3898,3899,World,,WLD,Millimeters,World,08/18/1997,-4.45,1997,8,18
3922,3923,World,,WLD,Millimeters,World,08/28/1997,-0.25,1997,8,28
3947,3948,World,,WLD,Millimeters,World,09/07/1997,4.55,1997,9,7
3972,3973,World,,WLD,Millimeters,World,09/17/1997,9.15,1997,9,17
3998,3999,World,,WLD,Millimeters,World,09/27/1997,6.55,1997,9,27
4015,4016,World,,WLD,Millimeters,World,10/16/1997,4.45,1997,10,16
4044,4045,World,,WLD,Millimeters,World,10/26/1997,6.75,1997,10,26
4071,4072,World,,WLD,Millimeters,World,11/05/1997,10.95,1997,11,5
4096,4097,World,,WLD,Millimeters,World,11/15/1997,4.95,1997,11,15
4122,4123,World,,WLD,Millimeters,World,11/25/1997,-0.55,1997,11,25
4146,4147,World,,WLD,Millimeters,World,12/05/1997,-4.35,1997,12,5
4172,4173,World,,WLD,Millimeters,World,12/15/1997,-7.85,1997,12,15
4197,4198,World,,WLD,Millimeters,World,12/25/1997,-2.85,1997,12,25
4222,4223,World,,WLD,Millimeters,World,01/04/1998,-1.55,1998,1,4
4247,4248,World,,WLD,Millimeters,World,01/14/1998,-0.85,1998,1,14
4265,4266,World,,WLD,Millimeters,World,02/02/1998,-8.15,1998,2,2
4295,4296,World,,WLD,Millimeters,World,02/12/1998,-8.45,1998,2,12
4321,4322,World,,WLD,Millimeters,World,02/22/1998,-6.05,1998,2,22
4346,4347,World,,WLD,Millimeters,World,03/04/1998,-3.95,1998,3,4
4372,4373,World,,WLD,Millimeters,World,03/14/1998,-3.65,1998,3,14
4397,4398,World,,WLD,Millimeters,World,03/24/1998,-6.95,1998,3,24
4422,4423,World,,WLD,Millimeters,World,04/03/1998,-10.85,1998,4,3
4441,4442,World,,WLD,Millimeters,World,04/12/1998,-9.15,1998,4,12
4472,4473,World,,WLD,Millimeters,World,04/23/1998,-4.55,1998,4,23
4498,4499,World,,WLD,Millimeters,World,05/03/1998,-3.45,1998,5,3
4523,4524,World,,WLD,Millimeters,World,05/13/1998,-6.95,1998,5,13
4544,4545,World,,WLD,Millimeters,World,06/01/1998,-15.95,1998,6,1
4571,4572,World,,WLD,Millimeters,World,06/11/1998,-13.75,1998,6,11
4596,4597,World,,WLD,Millimeters,World,06/21/1998,-10.05,1998,6,21
4621,4622,World,,WLD,Millimeters,World,07/01/1998,-3.35,1998,7,1
4647,4648,World,,WLD,Millimeters,World,07/11/1998,-4.45,1998,7,11
4672,4673,World,,WLD,Millimeters,World,07/21/1998,-9.25,1998,7,21
4697,4698,World,,WLD,Millimeters,World,08/10/1998,-7.05,1998,8,10
4722,4723,World,,WLD,Millimeters,World,08/20/1998,-4.25,1998,8,20
4748,4749,World,,WLD,Millimeters,World,08/30/1998,0.15,1998,8,30
4766,4767,World,,WLD,Millimeters,World,09/08/1998,0.65,1998,9,8
4794,4795,World,,WLD,Millimeters,World,09/18/1998,-4.85,1998,9,18
4821,4822,World,,WLD,Millimeters,World,09/28/1998,-4.35,1998,9,28
4847,4848,World,,WLD,Millimeters,World,10/08/1998,-2.25,1998,10,8
4871,4872,World,,WLD,Millimeters,World,10/28/1998,6.85,1998,10,28
4897,4898,World,,WLD,Millimeters,World,11/07/1998,2.85,1998,11,7
4922,4923,World,,WLD,Millimeters,World,11/17/1998,-3.75,1998,11,17
4947,4948,World,,WLD,Millimeters,World,11/27/1998,-9.85,1998,11,27
4972,4973,World,,WLD,Millimeters,World,12/07/1998,-3.65,1998,12,7
4997,4998,World,,WLD,Millimeters,World,12/17/1998,-2.95,1998,12,17
5018,5019,World,,WLD,Millimeters,World,12/26/1998,0.45,1998,12,26
5045,5046,World,,WLD,Millimeters,World,01/05/1999,-3.85,1999,1,5
5071,5072,World,,WLD,Millimeters,World,01/15/1999,-6.55,1999,1,15
5097,5098,World,,WLD,Millimeters,World,02/04/1999,-10.85,1999,2,4
5114,5115,World,,WLD,Millimeters,World,02/15/1999,4.05,1999,2,15
5147,5148,World,,WLD,Millimeters,World,02/24/1999,-0.95,1999,2,24
5172,5173,World,,WLD,Millimeters,World,03/06/1999,-6.05,1999,3,6
5197,5198,World,,WLD,Millimeters,World,03/16/1999,-11.45,1999,3,16
5222,5223,World,,WLD,Millimeters,World,03/26/1999,-10.05,1999,3,26
5247,5248,World,,WLD,Millimeters,World,04/05/1999,-7.55,1999,4,5
5267,5268,World,,WLD,Millimeters,World,04/14/1999,-5.05,1999,4,14
5294,5295,World,,WLD,Millimeters,World,05/04/1999,-7.95,1999,5,4
5320,5321,World,,WLD,Millimeters,World,05/14/1999,-13.45,1999,5,14
5346,5347,World,,WLD,Millimeters,World,05/24/1999,-15.95,1999,5,24
5372,5373,World,,WLD,Millimeters,World,06/03/1999,-10.15,1999,6,3
5397,5398,World,,WLD,Millimeters,World,06/13/1999,-11.25,1999,6,13
5422,5423,World,,WLD,Millimeters,World,06/23/1999,-6.95,1999,6,23
5448,5449,World,,WLD,Millimeters,World,07/03/1999,-4.25,1999,7,3
5472,5473,World,,WLD,Millimeters,World,07/13/1999,-8.95,1999,7,13
5497,5498,World,,WLD,Millimeters,World,07/23/1999,-10.25,1999,7,23
5518,5519,World,,WLD,Millimeters,World,08/01/1999,-4.05,1999,8,1
5545,5546,World,,WLD,Millimeters,World,08/11/1999,-2.95,1999,8,11
5572,5573,World,,WLD,Millimeters,World,08/21/1999,2.15,1999,8,21
5597,5598,World,,WLD,Millimeters,World,09/10/1999,-2.65,1999,9,10
5622,5623,World,,WLD,Millimeters,World,09/20/1999,1.65,1999,9,20
5647,5648,World,,WLD,Millimeters,World,09/30/1999,3.15,1999,9,30
5672,5673,World,,WLD,Millimeters,World,10/10/1999,11.65,1999,10,10
5697,5698,World,,WLD,Millimeters,World,10/20/1999,11.05,1999,10,20
5723,5724,World,,WLD,Millimeters,World,10/30/1999,5.75,1999,10,30
5748,5749,World,,WLD,Millimeters,World,11/09/1999,-0.85,1999,11,9
5773,5774,World,,WLD,Millimeters,World,11/19/1999,-1.25,1999,11,19
5795,5796,World,,WLD,Millimeters,World,11/28/1999,1.75,1999,11,28
5822,5823,World,,WLD,Millimeters,World,12/18/1999,7.95,1999,12,18
5847,5848,World,,WLD,Millimeters,World,12/28/1999,6.05,1999,12,28
5872,5873,World,,WLD,Millimeters,World,01/07/2000,-2.75,2000,1,7
5897,5898,World,,WLD,Millimeters,World,01/17/2000,-2.85,2000,1,17
5922,5923,World,,WLD,Millimeters,World,01/27/2000,3.75,2000,1,27
5947,5948,World,,WLD,Millimeters,World,02/06/2000,1.05,2000,2,6
5972,5973,World,,WLD,Millimeters,World,02/16/2000,-1.25,2000,2,16
5997,5998,World,,WLD,Millimeters,World,02/26/2000,-4.25,2000,2,26
6022,6023,World,,WLD,Millimeters,World,03/07/2000,-8.95,2000,3,7
6047,6048,World,,WLD,Millimeters,World,03/17/2000,-9.25,2000,3,17
6072,6073,World,,WLD,Millimeters,World,03/27/2000,-0.85,2000,3,27
6094,6095,World,,WLD,Millimeters,World,04/15/2000,-2.25,2000,4,15
6120,6121,World,,WLD,Millimeters,World,04/25/2000,-8.15,2000,4,25
